District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
East Garo Hills,Songsak,Dangkong Songgital,2022-2023,458619,32,11,34.38
East Garo Hills,Songsak,Dangkong Tasilgre,2022-2023,458620,42,10,23.81
East Garo Hills,Songsak,Dimit Ongtagittim,2022-2023,458621,40,0,0.0
East Garo Hills,Songsak,Dimit Warikachi,2022-2023,458622,40,0,0.0
East Garo Hills,Songsak,Dobu Achakpek,2022-2023,458623,87,0,0.0
East Garo Hills,Songsak,Galmahpa,2022-2023,458624,54,0,0.0
East Garo Hills,Songsak,Gongrang,2022-2023,458625,130,40,30.77
East Garo Hills,Songsak,Gra Songitcham,2022-2023,458626,93,0,0.0
East Garo Hills,Songsak,Koksi Nengsat,2022-2023,458627,244,86,35.25
East Garo Hills,Songsak,Koksi Songma,2022-2023,458628,36,0,0.0
East Garo Hills,Songsak,Napak Tangkama,2022-2023,458629,115,76,66.09
East Garo Hills,Songsak,Napak Tasek,2022-2023,458630,45,30,66.67
East Garo Hills,Songsak,Norek Bollonggre,2022-2023,458631,50,20,40.0
East Garo Hills,Songsak,Norek Daldot,2022-2023,458632,50,20,40.0
East Garo Hills,Songsak,Norek Nengjreng,2022-2023,458633,49,20,40.82
East Garo Hills,Songsak,Norek Nengsamgre,2022-2023,458634,89,35,39.33
East Garo Hills,Songsak,Rongre Bazar,2022-2023,458635,40,21,52.5
East Garo Hills,Songsak,Redamgre,2022-2023,458636,138,41,29.71
East Garo Hills,Songsak,Rongap Asimgre,2022-2023,458637,38,1,2.63
East Garo Hills,Songsak,Rongap Mringgre,2022-2023,458638,50,0,0.0
East Garo Hills,Songsak,Rongap Songgital,2022-2023,458639,100,67,67.0
East Garo Hills,Songsak,Rongap Songgitcham,2022-2023,458640,100,67,67.0
East Garo Hills,Songsak,Rongbeng,2022-2023,458641,75,21,28.0
East Garo Hills,Songsak,Rongchek Apal,2022-2023,458642,39,5,12.82
East Garo Hills,Songsak,Rongchek Songgital,2022-2023,458643,90,30,33.33
East Garo Hills,Songsak,Rongchek Songgitcham,2022-2023,458644,68,25,36.76
East Garo Hills,Songsak,Rongrong Songgitcham,2022-2023,458645,44,22,50.0
East Garo Hills,Songsak,Rongronggre,2022-2023,458646,77,25,32.47
East Garo Hills,Songsak,Silkol,2022-2023,458647,66,10,15.15
East Garo Hills,Songsak,Songkama Waksogre,2022-2023,458648,120,40,33.33
East Garo Hills,Songsak,Songsak Megapgre,2022-2023,458649,37,0,0.0
East Garo Hills,Songsak,Wagopgre,2022-2023,458650,112,25,22.32
East Garo Hills,Songsak,Tarasim,2022-2023,458651,27,0,0.0
East Jaintia Hills,Khliehriat,Borghat,2022-2023,458652,62,0,0.0
East Jaintia Hills,Khliehriat,Deinghalalu,2022-2023,458653,45,0,0.0
East Jaintia Hills,Khliehriat,Deinchynrum,2022-2023,458654,144,0,0.0
East Jaintia Hills,Khliehriat,Deinsatlang,2022-2023,458655,51,0,0.0
East Jaintia Hills,Khliehriat,Demlakang,2022-2023,458656,12,0,0.0
East Jaintia Hills,Khliehriat,Dkhiah East,2022-2023,458657,396,0,0.0
East Jaintia Hills,Khliehriat,Dona Skur,2022-2023,458658,83,28,33.73
East Jaintia Hills,Khliehriat,Dona Umbluh,2022-2023,458659,49,0,0.0
East Jaintia Hills,Khliehriat,Hingaria,2022-2023,458660,190,70,36.84
East Jaintia Hills,Khliehriat,Huroi,2022-2023,458661,298,70,23.49
East Jaintia Hills,Khliehriat,Iongkaluh,2022-2023,458662,424,115,27.12
East Jaintia Hills,Khliehriat,Jalyiah,2022-2023,458663,270,95,35.19
East Jaintia Hills,Khliehriat,Khliehmyntriang,2022-2023,458664,68,0,0.0
East Jaintia Hills,Khliehriat,Khliehriat East,2022-2023,458665,379,100,26.39
East Jaintia Hills,Khliehriat,Khliehriat West,2022-2023,458666,587,100,17.04
East Jaintia Hills,Khliehriat,Kongong,2022-2023,458667,17,0,0.0
East Jaintia Hills,Khliehriat,Kuliang,2022-2023,458668,243,0,0.0
East Jaintia Hills,Khliehriat,Lad Lakadong,2022-2023,458669,35,0,0.0
East Jaintia Hills,Khliehriat,Lahalein,2022-2023,458670,98,55,56.12
East Jaintia Hills,Khliehriat,Larseng,2022-2023,458671,19,0,0.0
East Jaintia Hills,Khliehriat,Lejri,2022-2023,458672,65,0,0.0
East Jaintia Hills,Khliehriat,Lumshnong,2022-2023,458673,500,300,60.0
East Jaintia Hills,Khliehriat,Lumshyrmit,2022-2023,458674,263,0,0.0
East Jaintia Hills,Khliehriat,Lumsoski,2022-2023,458675,35,0,0.0
East Jaintia Hills,Khliehriat,Lumtongseng,2022-2023,458676,32,0,0.0
East Jaintia Hills,Khliehriat,Malidor,2022-2023,458677,14,0,0.0
East Jaintia Hills,Khliehriat,Molamanoh,2022-2023,458678,310,90,29.03
East Jaintia Hills,Khliehriat,Mookhep,2022-2023,458679,88,20,22.73
East Jaintia Hills,Khliehriat,Mookympad,2022-2023,458680,155,0,0.0
East Jaintia Hills,Khliehriat,Moolang,2022-2023,458681,180,0,0.0
East Jaintia Hills,Khliehriat,Moopala,2022-2023,458682,96,0,0.0
East Jaintia Hills,Khliehriat,Mukhaialong,2022-2023,458683,400,0,0.0
East Jaintia Hills,Khliehriat,Musniang Jondeng,2022-2023,458684,410,9,2.2
East Jaintia Hills,Khliehriat,Musniang Rim,2022-2023,458685,135,12,8.89
East Jaintia Hills,Khliehriat,Mutong,2022-2023,458686,214,0,0.0
East Jaintia Hills,Khliehriat,Natber,2022-2023,458687,45,0,0.0
East Jaintia Hills,Khliehriat,Pamra Kmai,2022-2023,458688,251,30,11.95
East Jaintia Hills,Khliehriat,Pamra Paithlu,2022-2023,458689,220,0,0.0
East Jaintia Hills,Khliehriat,Pynthorsale,2022-2023,458690,121,20,16.53
East Jaintia Hills,Khliehriat,Pynurkba,2022-2023,458691,75,50,66.67
East Jaintia Hills,Khliehriat,Pyrtakuna,2022-2023,458692,127,0,0.0
East Jaintia Hills,Khliehriat,Rangad,2022-2023,458693,290,0,0.0
East Jaintia Hills,Khliehriat,Ratacherra,2022-2023,458694,360,0,0.0
East Jaintia Hills,Khliehriat,Rymbai,2022-2023,458695,985,398,40.41
East Jaintia Hills,Khliehriat,Shilliang Umshnong,2022-2023,458696,92,0,0.0
East Jaintia Hills,Khliehriat,Shohshrieh,2022-2023,458697,239,0,0.0
East Jaintia Hills,Khliehriat,Sohkymphor,2022-2023,458698,563,0,0.0
East Jaintia Hills,Khliehriat,Sutnga,2022-2023,458699,759,3,0.4
East Jaintia Hills,Khliehriat,Tongseng,2022-2023,458700,92,0,0.0
East Jaintia Hills,Khliehriat,Umkiang,2022-2023,458701,590,293,49.66
East Jaintia Hills,Khliehriat,Umlawang,2022-2023,458702,50,0,0.0
East Jaintia Hills,Khliehriat,Ummat,2022-2023,458703,91,0,0.0
East Jaintia Hills,Khliehriat,Umsatai,2022-2023,458704,43,0,0.0
East Jaintia Hills,Khliehriat,Umstain,2022-2023,458705,35,0,0.0
East Jaintia Hills,Khliehriat,Wapung Shnong,2022-2023,458706,541,30,5.55
East Jaintia Hills,Khliehriat,Wapungskur,2022-2023,458707,492,30,6.1
East Jaintia Hills,Saipung,Jalaphet Bri Sumer,2022-2023,458708,410,80,19.51
East Jaintia Hills,Saipung,Jalaphet Bri Sutnga,2022-2023,458709,565,120,21.24
East Jaintia Hills,Saipung,Khaddum,2022-2023,458710,67,0,0.0
East Jaintia Hills,Saipung,Khahnar,2022-2023,458711,271,0,0.0
East Jaintia Hills,Saipung,Kremmyrsiang,2022-2023,458712,85,0,0.0
East Jaintia Hills,Saipung,Kyrluh,2022-2023,458713,31,0,0.0
East Jaintia Hills,Saipung,Lakasein,2022-2023,458714,107,0,0.0
East Jaintia Hills,Saipung,Larket,2022-2023,458715,59,0,0.0
East Jaintia Hills,Saipung,Lelad,2022-2023,458716,108,0,0.0
East Jaintia Hills,Saipung,Lumkseh,2022-2023,458717,89,0,0.0
East Jaintia Hills,Saipung,Lura,2022-2023,458718,85,0,0.0
East Jaintia Hills,Saipung,Mookhain,2022-2023,458719,81,0,0.0
East Jaintia Hills,Saipung,Mulait Bri Sumer,2022-2023,458720,110,0,0.0
East Jaintia Hills,Saipung,Mulait Brisutnga,2022-2023,458721,52,0,0.0
East Jaintia Hills,Saipung,Muriap,2022-2023,458722,47,0,0.0
East Jaintia Hills,Saipung,Mynthluu,2022-2023,458723,166,0,0.0
East Jaintia Hills,Saipung,Narwan,2022-2023,458724,592,0,0.0
East Jaintia Hills,Saipung,Pala,2022-2023,458725,225,0,0.0
East Jaintia Hills,Saipung,Sahkai,2022-2023,458726,57,0,0.0
East Jaintia Hills,Saipung,Saipung,2022-2023,458727,290,0,0.0
East Jaintia Hills,Saipung,Saitual,2022-2023,458728,57,0,0.0
East Jaintia Hills,Saipung,Sakhain,2022-2023,458729,148,0,0.0
East Jaintia Hills,Saipung,Sakhain Molimen,2022-2023,458730,145,0,0.0
East Jaintia Hills,Saipung,Semasi,2022-2023,458731,140,0,0.0
East Jaintia Hills,Saipung,Shnongrim,2022-2023,458732,169,0,0.0
East Jaintia Hills,Saipung,Shyrwang,2022-2023,458733,29,0,0.0
East Jaintia Hills,Saipung,Tuituk,2022-2023,458734,38,0,0.0
East Jaintia Hills,Saipung,Umkyrpong,2022-2023,458735,141,0,0.0
East Khasi Hills,Sohiong,12th Mile,2022-2023,458736,96,0,0.0
East Khasi Hills,Sohiong,Diengkynthong,2022-2023,458737,68,0,0.0
East Khasi Hills,Sohiong,Diengsong,2022-2023,458738,72,0,0.0
East Khasi Hills,Sohiong,Dympep,2022-2023,458739,60,0,0.0
East Khasi Hills,Sohiong,Iewshillong,2022-2023,458740,390,68,17.44
East Khasi Hills,Sohiong,Kukon,2022-2023,458741,15,0,0.0
East Khasi Hills,Sohiong,Kynton Syrwa,2022-2023,458742,58,0,0.0
East Khasi Hills,Sohiong,Kyrdemkhla,2022-2023,458743,67,0,0.0
East Khasi Hills,Sohiong,Ladmawphlang,2022-2023,458744,88,58,65.91
East Khasi Hills,Sohiong,Laitkynsew (laitkroh),2022-2023,458745,138,0,0.0
East Khasi Hills,Sohiong,Laitkynsew (raid Mawlieh),2022-2023,458746,45,10,22.22
East Khasi Hills,Sohiong,Laitlyndop,2022-2023,458747,81,0,0.0
East Khasi Hills,Sohiong,Laitmawlong Wahpein,2022-2023,458748,85,48,56.47
East Khasi Hills,Sohiong,Laitsohma,2022-2023,458749,32,0,0.0
East Khasi Hills,Sohiong,Laitsohpliah,2022-2023,458750,86,0,0.0
East Khasi Hills,Sohiong,Laitthemlangsah,2022-2023,458751,21,0,0.0
East Khasi Hills,Sohiong,Laitumiong,2022-2023,458752,11,0,0.0
East Khasi Hills,Sohiong,Lumkyntung,2022-2023,458753,36,0,0.0
East Khasi Hills,Sohiong,Lummawkong,2022-2023,458754,79,0,0.0
East Khasi Hills,Sohiong,Lumpyllun,2022-2023,458755,30,0,0.0
East Khasi Hills,Sohiong,Lyngkynshieh,2022-2023,458756,48,0,0.0
East Khasi Hills,Sohiong,Lyngsteng,2022-2023,458757,12,0,0.0
East Khasi Hills,Sohiong,Madan Lyngkhi Nonglum,2022-2023,458758,210,0,0.0
East Khasi Hills,Sohiong,Mawbeh,2022-2023,458759,86,0,0.0
East Khasi Hills,Sohiong,Mawjrong,2022-2023,458760,138,5,3.62
East Khasi Hills,Sohiong,Mawkdok,2022-2023,458761,186,0,0.0
East Khasi Hills,Sohiong,Mawkma,2022-2023,458762,190,0,0.0
East Khasi Hills,Sohiong,Mawlyndiar,2022-2023,458763,79,0,0.0
East Khasi Hills,Sohiong,Mawmyrsiang,2022-2023,458764,221,0,0.0
East Khasi Hills,Sohiong,Mawrah,2022-2023,458765,145,3,2.07
East Khasi Hills,Sohiong,Mynsain,2022-2023,458766,77,0,0.0
East Khasi Hills,Sohiong,Nongthymmai Pdeng,2022-2023,458767,109,0,0.0
East Khasi Hills,Sohiong,Rangtmah,2022-2023,458768,28,0,0.0
East Khasi Hills,Sohiong,Rikyrshang,2022-2023,458769,7,0,0.0
East Khasi Hills,Sohiong,Rngimawsaw,2022-2023,458770,44,0,0.0
East Khasi Hills,Sohiong,Shankhla,2022-2023,458771,21,0,0.0
East Khasi Hills,Sohiong,Sohkynduh,2022-2023,458772,159,0,0.0
East Khasi Hills,Sohiong,Sohrarim,2022-2023,458773,189,52,27.51
East Khasi Hills,Sohiong,Step Lakrai,2022-2023,458774,41,0,0.0
East Khasi Hills,Sohiong,Swer,2022-2023,458775,417,0,0.0
East Khasi Hills,Sohiong,Synrang Sohnoh,2022-2023,458776,39,0,0.0
East Khasi Hills,Sohiong,Umdiengpoh,2022-2023,458777,56,0,0.0
East Khasi Hills,Sohiong,Umthli,2022-2023,458778,275,190,69.09
East Khasi Hills,Sohiong,Umtyngngar,2022-2023,458779,42,0,0.0
East Khasi Hills,Sohiong,Wahstew,2022-2023,458780,57,0,0.0
East Khasi Hills,Mawkynrew,Dienglieng,2022-2023,458781,230,154,66.96
East Khasi Hills,Mawkynrew,Jatah Lakadong,2022-2023,458782,247,0,0.0
East Khasi Hills,Mawkynrew,Jongksha,2022-2023,458783,836,393,47.01
East Khasi Hills,Mawkynrew,Khapmaw,2022-2023,458784,96,0,0.0
East Khasi Hills,Mawkynrew,Kharang,2022-2023,458785,552,361,65.4
East Khasi Hills,Mawkynrew,Khlieh Asem,2022-2023,458786,115,0,0.0
East Khasi Hills,Mawkynrew,Khwad,2022-2023,458787,64,0,0.0
East Khasi Hills,Mawkynrew,Laitkyrhong,2022-2023,458788,366,0,0.0
East Khasi Hills,Mawkynrew,Laitmynsang,2022-2023,458789,69,0,0.0
East Khasi Hills,Mawkynrew,Langsiew,2022-2023,458790,2,0,0.0
East Khasi Hills,Mawkynrew,Lynshing,2022-2023,458791,262,99,37.79
East Khasi Hills,Mawkynrew,Madan Demkhlieng,2022-2023,458792,52,0,0.0
East Khasi Hills,Mawkynrew,Mawdulop,2022-2023,458793,32,0,0.0
East Khasi Hills,Mawkynrew,Mawiapbang,2022-2023,458794,64,0,0.0
East Khasi Hills,Mawkynrew,Mawjam,2022-2023,458795,58,0,0.0
East Khasi Hills,Mawkynrew,Mawjatap,2022-2023,458796,159,0,0.0
East Khasi Hills,Mawkynrew,Mawkria,2022-2023,458797,107,0,0.0
East Khasi Hills,Mawkynrew,Mawkynrew,2022-2023,458798,222,0,0.0
East Khasi Hills,Mawkynrew,Mawlali,2022-2023,458799,253,1,0.4
East Khasi Hills,Mawkynrew,Mawlat,2022-2023,458800,157,0,0.0
East Khasi Hills,Mawkynrew,Mawlein,2022-2023,458801,211,0,0.0
East Khasi Hills,Mawkynrew,Mawpynieng,2022-2023,458802,41,0,0.0
East Khasi Hills,Mawkynrew,Mawrasai,2022-2023,458803,81,0,0.0
East Khasi Hills,Mawkynrew,Mawslang,2022-2023,458804,87,0,0.0
East Khasi Hills,Mawkynrew,Mawsna,2022-2023,458805,82,0,0.0
East Khasi Hills,Mawkynrew,Mynriah,2022-2023,458806,14,0,0.0
East Khasi Hills,Mawkynrew,Mynsang,2022-2023,458807,268,159,59.33
East Khasi Hills,Mawkynrew,New Nongryngkoh,2022-2023,458808,66,0,0.0
East Khasi Hills,Mawkynrew,Nohron,2022-2023,458809,167,0,0.0
East Khasi Hills,Mawkynrew,Nonghulew,2022-2023,458810,150,0,0.0
East Khasi Hills,Mawkynrew,Nongpyrdi,2022-2023,458811,93,0,0.0
East Khasi Hills,Mawkynrew,Nongryngkoh,2022-2023,458812,299,0,0.0
East Khasi Hills,Mawkynrew,Pashang,2022-2023,458813,70,42,60.0
East Khasi Hills,Mawkynrew,Rangmudi,2022-2023,458814,11,0,0.0
East Khasi Hills,Mawkynrew,Rangphlang,2022-2023,458815,70,0,0.0
East Khasi Hills,Mawkynrew,Rapleng,2022-2023,458816,209,0,0.0
East Khasi Hills,Mawkynrew,Siangkhnai,2022-2023,458817,37,0,0.0
East Khasi Hills,Mawkynrew,Siltham,2022-2023,458818,36,0,0.0
East Khasi Hills,Mawkynrew,Syniasya,2022-2023,458819,153,107,69.93
East Khasi Hills,Mawkynrew,Syntung,2022-2023,458820,199,0,0.0
East Khasi Hills,Mawkynrew,Thangbnai,2022-2023,458821,101,0,0.0
East Khasi Hills,Mawkynrew,Thangsning,2022-2023,458822,362,0,0.0
East Khasi Hills,Mawkynrew,Thynroit,2022-2023,458823,1058,0,0.0
East Khasi Hills,Mawkynrew,Umkhoi,2022-2023,458824,30,0,0.0
East Khasi Hills,Mawkynrew,Umpdem,2022-2023,458825,10,0,0.0
East Khasi Hills,Mawkynrew,Umsawwar,2022-2023,458826,77,0,0.0
East Khasi Hills,Mawkynrew,Umsning,2022-2023,458827,158,108,68.35
East Khasi Hills,Mawkynrew,Wahlyngdoh,2022-2023,458828,115,0,0.0
East Khasi Hills,Mawphlang,Demsnoin,2022-2023,458829,48,2,4.17
East Khasi Hills,Mawphlang,Demthring,2022-2023,458830,79,45,56.96
East Khasi Hills,Mawphlang,Dewlieh Mawrisnai,2022-2023,458831,56,20,35.71
East Khasi Hills,Mawphlang,Dewsaw,2022-2023,458832,95,0,0.0
East Khasi Hills,Mawphlang,Dewsaw Mawlein,2022-2023,458833,13,0,0.0
East Khasi Hills,Mawphlang,Dira,2022-2023,458834,164,0,0.0
East Khasi Hills,Mawphlang,Dom Mawphlang,2022-2023,458835,79,0,0.0
East Khasi Hills,Mawphlang,Jabar,2022-2023,458836,116,3,2.59
East Khasi Hills,Mawphlang,Jabar Lumtop Jaud,2022-2023,458837,128,0,0.0
East Khasi Hills,Mawphlang,Jabar Nongneng,2022-2023,458838,67,0,0.0
East Khasi Hills,Mawphlang,Jani Mawiong,2022-2023,458839,48,0,0.0
East Khasi Hills,Mawphlang,Jaud Lyngkhoi,2022-2023,458840,87,0,0.0
East Khasi Hills,Mawphlang,Kharlakhar Lumparing,2022-2023,458841,43,0,0.0
East Khasi Hills,Mawphlang,Kharngai,2022-2023,458842,87,0,0.0
East Khasi Hills,Mawphlang,Kharnongwah,2022-2023,458843,72,0,0.0
East Khasi Hills,Mawphlang,Khimurah,2022-2023,458844,37,0,0.0
East Khasi Hills,Mawphlang,Khlieh Lyngkhoi,2022-2023,458845,188,0,0.0
East Khasi Hills,Mawphlang,Krang Nonglum Shilliang Iew Jamynthlen,2022-2023,458846,105,0,0.0
East Khasi Hills,Mawphlang,Krang Nongrum,2022-2023,458847,131,8,6.11
East Khasi Hills,Mawphlang,Krang Nongrum Centre,2022-2023,458848,100,0,0.0
East Khasi Hills,Mawphlang,Krang Nongshilliang Lumkynton,2022-2023,458849,112,0,0.0
East Khasi Hills,Mawphlang,Kreit Mawshaton,2022-2023,458850,73,30,41.1
East Khasi Hills,Mawphlang,Kyiem,2022-2023,458851,125,0,0.0
East Khasi Hills,Mawphlang,Kyndon Wahlang,2022-2023,458852,115,0,0.0
East Khasi Hills,Mawphlang,Kynroh Nongbri,2022-2023,458853,96,0,0.0
East Khasi Hills,Mawphlang,Kynroh Nonglum,2022-2023,458854,150,0,0.0
East Khasi Hills,Mawphlang,Kynroh Nonglyer,2022-2023,458855,307,0,0.0
East Khasi Hills,Mawphlang,Kynroh Synrang,2022-2023,458856,32,0,0.0
East Khasi Hills,Mawphlang,Lad Mawreng,2022-2023,458857,186,0,0.0
East Khasi Hills,Mawphlang,Ladumrisain,2022-2023,458858,86,0,0.0
East Khasi Hills,Mawphlang,Lait Lyngkhoi,2022-2023,458859,102,45,44.12
East Khasi Hills,Mawphlang,Laitdiker,2022-2023,458860,30,0,0.0
East Khasi Hills,Mawphlang,Laitdithuh,2022-2023,458861,33,0,0.0
East Khasi Hills,Mawphlang,Laitmawhing,2022-2023,458862,67,0,0.0
East Khasi Hills,Mawphlang,Laitmawpen,2022-2023,458863,62,0,0.0
East Khasi Hills,Mawphlang,Laitnongkseh,2022-2023,458864,77,0,0.0
East Khasi Hills,Mawphlang,Laitnongrem,2022-2023,458865,131,0,0.0
East Khasi Hills,Mawphlang,Laitpynter Synrang Kaban,2022-2023,458866,183,0,0.0
East Khasi Hills,Mawphlang,Laitrangwai,2022-2023,458867,33,3,9.09
East Khasi Hills,Mawphlang,Laitsdad,2022-2023,458868,108,40,37.04
East Khasi Hills,Mawphlang,Laitsohphlang,2022-2023,458869,35,0,0.0
East Khasi Hills,Mawphlang,Langsheng,2022-2023,458870,11,0,0.0
East Khasi Hills,Mawphlang,Lempluh,2022-2023,458871,93,0,0.0
East Khasi Hills,Mawphlang,Lumpyllun,2022-2023,458872,35,0,0.0
East Khasi Hills,Mawphlang,Lumsohriew,2022-2023,458873,62,0,0.0
East Khasi Hills,Mawphlang,Lyngdoh Phanblang,2022-2023,458874,106,0,0.0
East Khasi Hills,Mawphlang,Lyngkhwir,2022-2023,458875,29,0,0.0
East Khasi Hills,Mawphlang,Lyngkien Tangnew,2022-2023,458876,73,0,0.0
East Khasi Hills,Mawphlang,Lynngai,2022-2023,458877,85,0,0.0
East Khasi Hills,Mawphlang,Lyngwa,2022-2023,458878,61,0,0.0
East Khasi Hills,Mawphlang,Lyngwa Lummynsain,2022-2023,458879,57,0,0.0
East Khasi Hills,Mawphlang,Madan Bitaw,2022-2023,458880,189,3,1.59
East Khasi Hills,Mawphlang,Madan Kor,2022-2023,458881,60,0,0.0
East Khasi Hills,Mawphlang,Madan Lyngkhoi Ranab Domlyngkut,2022-2023,458882,105,0,0.0
East Khasi Hills,Mawphlang,Madan Mawser,2022-2023,458883,83,0,0.0
East Khasi Hills,Mawphlang,Madan Nongur,2022-2023,458884,127,0,0.0
East Khasi Hills,Mawphlang,Marbisu Pdengshnong,2022-2023,458885,669,74,11.06
East Khasi Hills,Mawphlang,Marpna,2022-2023,458886,282,75,26.6
East Khasi Hills,Mawphlang,Mawdngung,2022-2023,458887,263,182,69.2
East Khasi Hills,Mawphlang,Mawjingka,2022-2023,458888,128,0,0.0
East Khasi Hills,Mawphlang,Mawkahiar,2022-2023,458889,69,0,0.0
East Khasi Hills,Mawphlang,Mawkalum,2022-2023,458890,73,0,0.0
East Khasi Hills,Mawphlang,Mawkohmon,2022-2023,458891,264,73,27.65
East Khasi Hills,Mawphlang,Mawkynroh,2022-2023,458892,152,82,53.95
