District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
North Garo Hills,Kharkutta,Ildek Akong,2022-2023,459416,92,10,10.87
North Garo Hills,Kharkutta,Imbanggi,2022-2023,459417,125,85,68.0
North Garo Hills,Kharkutta,Imbeng Akong,2022-2023,459418,33,10,30.3
North Garo Hills,Kharkutta,Imsambal,2022-2023,459419,72,0,0.0
North Garo Hills,Kharkutta,Jalkim,2022-2023,459420,97,0,0.0
North Garo Hills,Kharkutta,Konchikol Apal,2022-2023,459421,101,0,0.0
North Garo Hills,Kharkutta,Lower Rongbu,2022-2023,459422,172,0,0.0
North Garo Hills,Kharkutta,Megam Akong,2022-2023,459423,228,0,0.0
North Garo Hills,Kharkutta,Menadoba,2022-2023,459424,168,0,0.0
North Garo Hills,Kharkutta,Mendima (garo),2022-2023,459425,225,0,0.0
North Garo Hills,Kharkutta,Mendima Bakragittim,2022-2023,459426,29,10,34.48
North Garo Hills,Kharkutta,Mendima Rabha,2022-2023,459427,69,0,0.0
North Garo Hills,Kharkutta,Mingkrak,2022-2023,459428,48,0,0.0
North Garo Hills,Kharkutta,Nachirongdik,2022-2023,459429,168,0,0.0
North Garo Hills,Kharkutta,Nilwa Guarechol,2022-2023,459430,57,0,0.0
North Garo Hills,Kharkutta,Rajasimla Mongsi,2022-2023,459431,59,0,0.0
North Garo Hills,Kharkutta,Rajasimla Reserve,2022-2023,459432,29,0,0.0
North Garo Hills,Kharkutta,Rajasimla Rongdal Atimbo,2022-2023,459433,47,0,0.0
North Garo Hills,Kharkutta,Rajasimla Songgittal,2022-2023,459434,17,0,0.0
North Garo Hills,Kharkutta,Rajasimla Songma,2022-2023,459435,74,0,0.0
North Garo Hills,Kharkutta,Rajasimla Wari,2022-2023,459436,108,0,0.0
North Garo Hills,Kharkutta,Rakuma,2022-2023,459437,84,0,0.0
North Garo Hills,Kharkutta,Rangga (nadilwang),2022-2023,459438,84,0,0.0
North Garo Hills,Kharkutta,Rangsa,2022-2023,459439,56,5,8.93
North Garo Hills,Kharkutta,Rateka,2022-2023,459440,47,0,0.0
North Garo Hills,Kharkutta,Reking,2022-2023,459441,88,0,0.0
North Garo Hills,Kharkutta,Rongit Renggingittim,2022-2023,459442,52,0,0.0
North Garo Hills,Kharkutta,Sakware Songgital,2022-2023,459443,38,0,0.0
North Garo Hills,Kharkutta,Silkigitim,2022-2023,459444,83,0,0.0
North Garo Hills,Kharkutta,Tengasot,2022-2023,459445,120,0,0.0
North Garo Hills,Kharkutta,Tingba,2022-2023,459446,95,0,0.0
North Garo Hills,Kharkutta,Tinsimina,2022-2023,459447,74,0,0.0
North Garo Hills,Kharkutta,Uguri,2022-2023,459448,77,0,0.0
North Garo Hills,Kharkutta,Upper Bolmedang,2022-2023,459449,203,135,66.5
North Garo Hills,Kharkutta,Upper Bolsaldam,2022-2023,459450,71,20,28.17
North Garo Hills,Kharkutta,Upper Rajasimla,2022-2023,459451,25,0,0.0
North Garo Hills,Kharkutta,Upper Rongbu,2022-2023,459452,125,0,0.0
North Garo Hills,Kharkutta,Upper Sambrak,2022-2023,459453,110,0,0.0
North Garo Hills,Kharkutta,Wakuram (konchikol Aga),2022-2023,459454,59,0,0.0
North Garo Hills,Resubelpara,Boda Apal,2022-2023,459455,63,0,0.0
North Garo Hills,Resubelpara,Chenggalma,2022-2023,459456,81,40,49.38
North Garo Hills,Resubelpara,Chidaret Ajajro,2022-2023,459457,123,0,0.0
North Garo Hills,Resubelpara,Chiprap,2022-2023,459458,65,0,0.0
North Garo Hills,Resubelpara,Chisim Apal,2022-2023,459459,143,29,20.28
North Garo Hills,Resubelpara,Chisim Apal,2022-2023,459460,143,29,20.28
North Garo Hills,Resubelpara,Chitukdadram,2022-2023,459461,121,0,0.0
North Garo Hills,Resubelpara,Damas,2022-2023,459462,326,0,0.0
North Garo Hills,Resubelpara,Damringgre,2022-2023,459463,92,43,46.74
North Garo Hills,Resubelpara,Dangra Songgital,2022-2023,459464,26,0,0.0
North Garo Hills,Resubelpara,Darenchi Babupara,2022-2023,459465,33,0,0.0
North Garo Hills,Resubelpara,Dokamcheng,2022-2023,459466,290,0,0.0
North Garo Hills,Resubelpara,Gambil Apal,2022-2023,459467,40,0,0.0
North Garo Hills,Resubelpara,Harinkata Kacharipara,2022-2023,459468,46,24,52.17
North Garo Hills,Resubelpara,Jongdonggre,2022-2023,459469,72,0,0.0
North Garo Hills,Resubelpara,Kaldong Songma,2022-2023,459470,44,0,0.0
North Garo Hills,Resubelpara,Keragalram,2022-2023,459471,58,16,27.59
North Garo Hills,Resubelpara,Kimbaldam,2022-2023,459472,53,0,0.0
North Garo Hills,Resubelpara,Lower Jampara,2022-2023,459473,107,0,0.0
North Garo Hills,Resubelpara,Lower Nengsa,2022-2023,459474,73,20,27.4
North Garo Hills,Resubelpara,Lower Nogolpara,2022-2023,459475,57,0,0.0
North Garo Hills,Resubelpara,Mendudam,2022-2023,459476,91,0,0.0
North Garo Hills,Resubelpara,Mikka Simdam,2022-2023,459477,52,0,0.0
North Garo Hills,Resubelpara,Mongpangro,2022-2023,459478,111,2,1.8
North Garo Hills,Resubelpara,Nanil Apal,2022-2023,459479,57,0,0.0
North Garo Hills,Resubelpara,Narongkol,2022-2023,459480,73,0,0.0
North Garo Hills,Resubelpara,Nengsa Narongkol,2022-2023,459481,25,0,0.0
North Garo Hills,Resubelpara,New Katolguri (dobakkol),2022-2023,459482,99,0,0.0
North Garo Hills,Resubelpara,Nishangram Babupara,2022-2023,459483,88,0,0.0
North Garo Hills,Resubelpara,Nokatgre,2022-2023,459484,37,0,0.0
North Garo Hills,Resubelpara,Pakmare,2022-2023,459485,40,0,0.0
North Garo Hills,Resubelpara,Rongdama,2022-2023,459486,34,20,58.82
North Garo Hills,Resubelpara,Rongkaminchi Balnanggre,2022-2023,459487,39,24,61.54
North Garo Hills,Resubelpara,Rongmatcha,2022-2023,459488,28,0,0.0
North Garo Hills,Resubelpara,Rongsol,2022-2023,459489,126,0,0.0
North Garo Hills,Resubelpara,Soenang Pahartuli,2022-2023,459490,26,17,65.38
North Garo Hills,Resubelpara,Soenang Pahartuli (labourpara),2022-2023,459491,139,25,17.99
North Garo Hills,Resubelpara,Sonakari,2022-2023,459492,27,1,3.7
North Garo Hills,Resubelpara,Songmegap,2022-2023,459493,37,0,0.0
North Garo Hills,Resubelpara,Thapa Bandalkona,2022-2023,459494,13,0,0.0
North Garo Hills,Resubelpara,Thapa Bazaar,2022-2023,459495,28,0,0.0
North Garo Hills,Resubelpara,Thapa Dajong Gate,2022-2023,459496,56,0,0.0
North Garo Hills,Resubelpara,Thapa Dajonggre,2022-2023,459497,40,0,0.0
North Garo Hills,Resubelpara,Wakso Asimgre,2022-2023,459498,111,0,0.0
North Garo Hills,Resubelpara,Woodland,2022-2023,459499,18,0,0.0
Ri Bhoi,Jirang,Akhoinijira,2022-2023,459500,13,0,0.0
Ri Bhoi,Jirang,Bakhlapara,2022-2023,459501,100,0,0.0
Ri Bhoi,Jirang,Balakhawa,2022-2023,459502,100,0,0.0
Ri Bhoi,Jirang,Bernongsai Nongspung,2022-2023,459503,70,0,0.0
Ri Bhoi,Jirang,Bernongsai Nongkhlaw,2022-2023,459504,36,0,0.0
Ri Bhoi,Jirang,Bilpara,2022-2023,459505,55,0,0.0
Ri Bhoi,Jirang,Dakapathar,2022-2023,459506,10,0,0.0
Ri Bhoi,Jirang,Dymmu Paham,2022-2023,459507,44,0,0.0
Ri Bhoi,Jirang,Garo Bhanga Amreng,2022-2023,459508,40,0,0.0
Ri Bhoi,Jirang,Gunpati,2022-2023,459509,72,0,0.0
Ri Bhoi,Jirang,Hawla,2022-2023,459510,36,0,0.0
Ri Bhoi,Jirang,Halher,2022-2023,459511,16,0,0.0
Ri Bhoi,Jirang,Io Muroh (shakurbaria),2022-2023,459512,10,0,0.0
Ri Bhoi,Jirang,Jali Lum,2022-2023,459513,64,0,0.0
Ri Bhoi,Jirang,Jali Them,2022-2023,459514,41,0,0.0
Ri Bhoi,Jirang,Jaluk Paham,2022-2023,459515,30,0,0.0
Ri Bhoi,Jirang,Jareibasai,2022-2023,459516,54,0,0.0
Ri Bhoi,Jirang,Jymbarigoan,2022-2023,459517,96,0,0.0
Ri Bhoi,Jirang,Kyntem Nongmalieh,2022-2023,459518,48,0,0.0
Ri Bhoi,Jirang,Lai Lad,2022-2023,459519,44,19,43.18
Ri Bhoi,Jirang,Langkaduh,2022-2023,459520,40,0,0.0
Ri Bhoi,Jirang,Lyngkhung,2022-2023,459521,58,0,0.0
Ri Bhoi,Jirang,Mairapur,2022-2023,459522,68,6,8.82
Ri Bhoi,Jirang,Mawdem Domphlang,2022-2023,459523,51,4,7.84
Ri Bhoi,Jirang,Mawdem Kperblang,2022-2023,459524,34,0,0.0
Ri Bhoi,Jirang,Mawdem Nongbah,2022-2023,459525,23,0,0.0
Ri Bhoi,Jirang,Mawsohshrieh,2022-2023,459526,84,0,0.0
Ri Bhoi,Jirang,Mawtamur,2022-2023,459527,63,40,63.49
Ri Bhoi,Jirang,Mynnar Jirang (nongbah),2022-2023,459528,102,70,68.63
Ri Bhoi,Jirang,New Amkrem,2022-2023,459529,26,15,57.69
Ri Bhoi,Jirang,New Balakhawa,2022-2023,459530,10,0,0.0
Ri Bhoi,Jirang,Nongbir Lum,2022-2023,459531,97,0,0.0
Ri Bhoi,Jirang,Nongkharai,2022-2023,459532,50,34,68.0
Ri Bhoi,Jirang,Nongkyllang,2022-2023,459533,27,0,0.0
Ri Bhoi,Jirang,Nongkynrih,2022-2023,459534,58,15,25.86
Ri Bhoi,Jirang,Nongrim Jirang,2022-2023,459535,74,0,0.0
Ri Bhoi,Jirang,Nongtarieh,2022-2023,459536,25,0,0.0
Ri Bhoi,Jirang,Paham Juda - B,2022-2023,459537,13,0,0.0
Ri Bhoi,Jirang,Paham Umshru,2022-2023,459538,72,40,55.56
Ri Bhoi,Jirang,Pat Gaon,2022-2023,459539,121,0,0.0
Ri Bhoi,Jirang,Pilangku -a,2022-2023,459540,46,30,65.22
Ri Bhoi,Jirang,Pynker -b,2022-2023,459541,43,0,0.0
Ri Bhoi,Jirang,Pynker C,2022-2023,459542,30,20,66.67
Ri Bhoi,Jirang,Rajabala,2022-2023,459543,4,0,0.0
Ri Bhoi,Jirang,Ranibari,2022-2023,459544,87,0,0.0
Ri Bhoi,Jirang,Rani Jirang,2022-2023,459545,28,0,0.0
Ri Bhoi,Jirang,Sohkyrbam -rim,2022-2023,459546,111,75,67.57
Ri Bhoi,Jirang,Sokunijira,2022-2023,459547,10,0,0.0
Ri Bhoi,Jirang,Ulubari,2022-2023,459548,28,0,0.0
Ri Bhoi,Jirang,Umkhawai,2022-2023,459549,15,8,53.33
Ri Bhoi,Jirang,Umkrem Dynkhong,2022-2023,459550,57,0,0.0
Ri Bhoi,Jirang,Umlakro,2022-2023,459551,83,30,36.14
Ri Bhoi,Jirang,Umlaniang,2022-2023,459552,35,0,0.0
Ri Bhoi,Jirang,Umlathu,2022-2023,459553,53,0,0.0
Ri Bhoi,Jirang,Umlur,2022-2023,459554,52,16,30.77
Ri Bhoi,Jirang,Tasku Thymmai,2022-2023,459555,47,30,63.83
Ri Bhoi,Jirang,Ummar,2022-2023,459556,84,15,17.86
Ri Bhoi,Jirang,Umrit,2022-2023,459557,172,101,58.72
Ri Bhoi,Jirang,Umsylliang,2022-2023,459558,57,35,61.4
Ri Bhoi,Jirang,Umsen,2022-2023,459559,35,0,0.0
Ri Bhoi,Jirang,Umshalani,2022-2023,459560,36,0,0.0
Ri Bhoi,Jirang,Umsohpanan,2022-2023,459561,118,61,51.69
Ri Bhoi,Jirang,Umtang,2022-2023,459562,24,10,41.67
Ri Bhoi,Jirang,Umtar,2022-2023,459563,23,14,60.87
Ri Bhoi,Jirang,Umtarlet(utpaham),2022-2023,459564,17,0,0.0
Ri Bhoi,Jirang,Umtyngar,2022-2023,459565,165,0,0.0
Ri Bhoi,Jirang,Wahsynon Nongdom,2022-2023,459566,152,89,58.55
Ri Bhoi,Umling,Am Phrang Giri,2022-2023,459567,67,0,0.0
Ri Bhoi,Umling,Ampher,2022-2023,459568,66,0,0.0
Ri Bhoi,Umling,Ampyriling,2022-2023,459569,20,0,0.0
Ri Bhoi,Umling,Bahennudi,2022-2023,459570,22,0,0.0
Ri Bhoi,Umling,Bara -killing,2022-2023,459571,95,0,0.0
Ri Bhoi,Umling,Barapathar,2022-2023,459572,64,39,60.94
Ri Bhoi,Umling,Baridua 9th Miles,2022-2023,459573,509,0,0.0
Ri Bhoi,Umling,Belkuri,2022-2023,459574,58,15,25.86
Ri Bhoi,Umling,Bleishah,2022-2023,459575,50,0,0.0
Ri Bhoi,Umling,Borbhalu,2022-2023,459576,39,0,0.0
Ri Bhoi,Umling,Cibra,2022-2023,459577,68,0,0.0
Ri Bhoi,Umling,Chota Killing,2022-2023,459578,54,0,0.0
Ri Bhoi,Umling,Harli Bagan,2022-2023,459579,100,62,62.0
Ri Bhoi,Umling,Hatimara,2022-2023,459580,80,45,56.25
Ri Bhoi,Umling,Ingjal Rim,2022-2023,459581,48,0,0.0
Ri Bhoi,Umling,Iongkhuli,2022-2023,459582,58,0,0.0
Ri Bhoi,Umling,Jojwabil,2022-2023,459583,97,0,0.0
Ri Bhoi,Umling,Jol Syiem,2022-2023,459584,24,0,0.0
Ri Bhoi,Umling,Jorbir,2022-2023,459585,44,0,0.0
Ri Bhoi,Umling,Jorabat,2022-2023,459586,50,0,0.0
Ri Bhoi,Umling,Khanapara,2022-2023,459587,50,0,0.0
Ri Bhoi,Umling,Khasi Killing,2022-2023,459588,270,0,0.0
Ri Bhoi,Umling,Khuswai,2022-2023,459589,45,11,24.44
Ri Bhoi,Umling,Koinadhara,2022-2023,459590,6,0,0.0
Ri Bhoi,Umling,Kongripara,2022-2023,459591,88,0,0.0
Ri Bhoi,Umling,Korstep Nongtluh,2022-2023,459592,104,0,0.0
Ri Bhoi,Umling,Lalmati,2022-2023,459593,77,0,0.0
Ri Bhoi,Umling,Lum Nongrim Byrni,2022-2023,459594,185,115,62.16
Ri Bhoi,Umling,Machukre,2022-2023,459595,55,0,0.0
Ri Bhoi,Umling,Maikhuli,2022-2023,459596,125,0,0.0
Ri Bhoi,Umling,Mawiong Garo,2022-2023,459597,56,0,0.0
Ri Bhoi,Umling,Mawlong,2022-2023,459598,192,0,0.0
Ri Bhoi,Umling,Mawlong Sepngi,2022-2023,459599,55,0,0.0
Ri Bhoi,Umling,Mawlyngkdein,2022-2023,459600,86,0,0.0
Ri Bhoi,Umling,Mawpdang Nongbri,2022-2023,459601,37,0,0.0
Ri Bhoi,Umling,Mawphrew,2022-2023,459602,85,12,14.12
Ri Bhoi,Umling,Mawphru,2022-2023,459603,200,0,0.0
Ri Bhoi,Umling,Mawsmai,2022-2023,459604,102,0,0.0
Ri Bhoi,Umling,Model Village,2022-2023,459605,66,0,0.0
Ri Bhoi,Umling,Nongrabil,2022-2023,459606,73,0,0.0
Ri Bhoi,Umling,Nongspung A,2022-2023,459607,50,0,0.0
Ri Bhoi,Umling,Nongspung B,2022-2023,459608,63,35,55.56
Ri Bhoi,Umling,Nongspung C,2022-2023,459609,40,0,0.0
Ri Bhoi,Umling,Nongthymmai Mathan,2022-2023,459610,17,0,0.0
Ri Bhoi,Umling,Nongthymmai Nongtluh,2022-2023,459611,50,0,0.0
Ri Bhoi,Umling,Paham Dymmu,2022-2023,459612,37,25,67.57
Ri Bhoi,Umling,Pahamkroh,2022-2023,459613,112,0,0.0
Ri Bhoi,Umling,Paham Mawlein (20th Mile),2022-2023,459614,230,118,51.3
Ri Bhoi,Umling,Pahambir Lum,2022-2023,459615,42,26,61.9
Ri Bhoi,Umling,Paham Ingding,2022-2023,459616,104,71,68.27
Ri Bhoi,Umling,Pahamjri,2022-2023,459617,78,0,0.0
Ri Bhoi,Umling,Pathar Kuchi,2022-2023,459618,133,0,0.0
Ri Bhoi,Umling,Pilangkata,2022-2023,459619,230,0,0.0
Ri Bhoi,Umling,Pilangkata-b,2022-2023,459620,75,0,0.0
Ri Bhoi,Umling,Pisamhuru,2022-2023,459621,27,13,48.15
Ri Bhoi,Umling,Rangsakuna (15th Mile),2022-2023,459622,168,0,0.0
Ri Bhoi,Umling,Ronghona,2022-2023,459623,40,18,45.0
Ri Bhoi,Umling,Rongjari,2022-2023,459624,109,0,0.0
Ri Bhoi,Umling,Rongsahep,2022-2023,459625,37,16,43.24
Ri Bhoi,Umling,Rongshikong (plasha),2022-2023,459626,35,0,0.0
Ri Bhoi,Umling,Rongthelu,2022-2023,459627,40,10,25.0
Ri Bhoi,Umling,Shakhoikuna,2022-2023,459628,68,0,0.0
Ri Bhoi,Umling,Sohlait Rim,2022-2023,459629,83,50,60.24
Ri Bhoi,Umling,Tagongbari,2022-2023,459630,32,0,0.0
Ri Bhoi,Umling,Timbokgre,2022-2023,459631,47,26,55.32
Ri Bhoi,Umling,Umbi Mathan,2022-2023,459632,58,0,0.0
Ri Bhoi,Umling,Umdap Dymmu,2022-2023,459633,49,30,61.22
Ri Bhoi,Umling,Umdem,2022-2023,459634,31,0,0.0
Ri Bhoi,Umling,Umden La-ang,2022-2023,459635,88,0,0.0
Ri Bhoi,Umling,Umdohkha,2022-2023,459636,148,0,0.0
Ri Bhoi,Umling,Umdohkha Them,2022-2023,459637,77,0,0.0
Ri Bhoi,Umling,Umduba,2022-2023,459638,29,0,0.0
Ri Bhoi,Umling,Umjari,2022-2023,459639,121,0,0.0
Ri Bhoi,Umling,Umlakhar,2022-2023,459640,150,0,0.0
Ri Bhoi,Umling,Umling,2022-2023,459641,397,276,69.52
Ri Bhoi,Umling,Umpathaw,2022-2023,459642,118,0,0.0
Ri Bhoi,Umling,Umrang Lyngkru,2022-2023,459643,47,0,0.0
Ri Bhoi,Umling,Umrang Mawkhein,2022-2023,459644,19,0,0.0
Ri Bhoi,Umling,Umrang Nongbah,2022-2023,459645,67,0,0.0
Ri Bhoi,Umling,Umsarang Byrni,2022-2023,459646,23,0,0.0
Ri Bhoi,Umling,Umsawnongkharai,2022-2023,459647,116,49,42.24
Ri Bhoi,Umling,Umshaken,2022-2023,459648,202,0,0.0
Ri Bhoi,Umling,Sohkhar,2022-2023,459649,61,0,0.0
Ri Bhoi,Umling,Umta Rim,2022-2023,459650,62,0,0.0
Ri Bhoi,Umling,Umtyrlen,2022-2023,459651,31,0,0.0
Ri Bhoi,Umling,Umtyrnga,2022-2023,459652,240,164,68.33
Ri Bhoi,Umling,Upper Bagan,2022-2023,459653,92,50,54.35
Ri Bhoi,Umling,Upper Balian,2022-2023,459654,45,0,0.0
Ri Bhoi,Umling,Upper Jorbil,2022-2023,459655,96,0,0.0
Ri Bhoi,Umling,Upper Nerbong,2022-2023,459656,67,0,0.0
Ri Bhoi,Umling,Woksikathem,2022-2023,459657,40,0,0.0
Ri Bhoi,Umsning,Amdubighat,2022-2023,459658,60,30,50.0
Ri Bhoi,Umsning,Amjong,2022-2023,459659,109,0,0.0
Ri Bhoi,Umsning,Amkhang,2022-2023,459660,37,10,27.03
Ri Bhoi,Umsning,Amphreng,2022-2023,459661,50,0,0.0
Ri Bhoi,Umsning,Banbudai,2022-2023,459662,140,5,3.57
Ri Bhoi,Umsning,Birsiej,2022-2023,459663,101,50,49.5
Ri Bhoi,Umsning,Byrwa,2022-2023,459664,207,97,46.86
Ri Bhoi,Umsning,I.c.a.r.,2022-2023,459665,216,103,47.69
Ri Bhoi,Umsning,Ingsaw,2022-2023,459666,189,0,0.0
Ri Bhoi,Umsning,Itpatung,2022-2023,459667,42,0,0.0
Ri Bhoi,Umsning,Jair,2022-2023,459668,127,70,55.12
Ri Bhoi,Umsning,Jatah,2022-2023,459669,103,0,0.0
Ri Bhoi,Umsning,Jatalong,2022-2023,459670,61,41,67.21
Ri Bhoi,Umsning,Kalapangti,2022-2023,459671,89,0,0.0
Ri Bhoi,Umsning,Kdohhati,2022-2023,459672,128,0,0.0
Ri Bhoi,Umsning,Khlieh Umtrew,2022-2023,459673,129,0,0.0
Ri Bhoi,Umsning,Khlieh Umwang,2022-2023,459674,109,0,0.0
Ri Bhoi,Umsning,Khweng,2022-2023,459675,143,79,55.24
Ri Bhoi,Umsning,Korhadem,2022-2023,459676,160,0,0.0
Ri Bhoi,Umsning,Kraikajam,2022-2023,459677,46,0,0.0
Ri Bhoi,Umsning,Kseh Kynjoin,2022-2023,459678,24,0,0.0
Ri Bhoi,Umsning,Kynjoin Umran,2022-2023,459679,125,36,28.8
Ri Bhoi,Umsning,Kyrdemkulai 5th Mile,2022-2023,459680,129,65,50.39
Ri Bhoi,Umsning,Kyrdemkulai 6th Mile,2022-2023,459681,109,64,58.72
Ri Bhoi,Umsning,Lamalong,2022-2023,459682,176,45,25.57
Ri Bhoi,Umsning,Lapudui,2022-2023,459683,37,0,0.0
Ri Bhoi,Umsning,Laru,2022-2023,459684,449,15,3.34
Ri Bhoi,Umsning,Lawpyllun,2022-2023,459685,77,30,38.96
Ri Bhoi,Umsning,Liarbang,2022-2023,459686,68,0,0.0
Ri Bhoi,Umsning,Liarshluid,2022-2023,459687,34,10,29.41
Ri Bhoi,Umsning,Lumblei,2022-2023,459688,84,0,0.0
Ri Bhoi,Umsning,Lumdiengngan,2022-2023,459689,85,48,56.47
Ri Bhoi,Umsning,Lumniwar,2022-2023,459690,129,0,0.0
Ri Bhoi,Umsning,Lumnongrim,2022-2023,459691,318,4,1.26
Ri Bhoi,Umsning,Lumsohphoh (mawlein Mawkhan Mawbishar),2022-2023,459692,43,27,62.79
Ri Bhoi,Umsning,Lumumpih,2022-2023,459693,204,105,51.47
Ri Bhoi,Umsning,Lymphuid,2022-2023,459694,74,0,0.0
Ri Bhoi,Umsning,Madan Umrnong,2022-2023,459695,59,40,67.8
Ri Bhoi,Umsning,Makdoh,2022-2023,459696,60,4,6.67
Ri Bhoi,Umsning,Markhangduba,2022-2023,459697,21,0,0.0
Ri Bhoi,Umsning,Maska,2022-2023,459698,31,20,64.52
Ri Bhoi,Umsning,Mawbsein,2022-2023,459699,462,50,10.82
Ri Bhoi,Umsning,Mawdieng Ngan,2022-2023,459700,58,0,0.0
Ri Bhoi,Umsning,Mawhati,2022-2023,459701,135,0,0.0
Ri Bhoi,Umsning,Mawiambei,2022-2023,459702,300,0,0.0
Ri Bhoi,Umsning,Mawietnar,2022-2023,459703,77,10,12.99
Ri Bhoi,Umsning,Mawkduk,2022-2023,459704,37,14,37.84
Ri Bhoi,Umsning,Mawker,2022-2023,459705,103,56,54.37
Ri Bhoi,Umsning,Mawkhap,2022-2023,459706,70,0,0.0
Ri Bhoi,Umsning,Mawkorblang (madan Sohkhar),2022-2023,459707,32,12,37.5
Ri Bhoi,Umsning,Mawkynrong,2022-2023,459708,51,0,0.0
Ri Bhoi,Umsning,Mawkyrdep,2022-2023,459709,341,50,14.66
Ri Bhoi,Umsning,Mawlaho,2022-2023,459710,93,0,0.0
Ri Bhoi,Umsning,Mawlang,2022-2023,459711,95,50,52.63
Ri Bhoi,Umsning,Mawlasnai,2022-2023,459712,253,160,63.24
Ri Bhoi,Umsning,Mawlein Mawkhan,2022-2023,459713,391,11,2.81
Ri Bhoi,Umsning,Mawlyndep,2022-2023,459714,220,0,0.0
Ri Bhoi,Umsning,Mawlyngkhung,2022-2023,459715,219,0,0.0
Ri Bhoi,Umsning,Mawlyngngai,2022-2023,459716,32,0,0.0
Ri Bhoi,Umsning,Mawpat,2022-2023,459717,49,0,0.0
Ri Bhoi,Umsning,Mawpyrhut,2022-2023,459718,72,0,0.0
Ri Bhoi,Umsning,Mawrathud,2022-2023,459719,76,0,0.0
Ri Bhoi,Umsning,Mawrong,2022-2023,459720,263,179,68.06
Ri Bhoi,Umsning,Mawser,2022-2023,459721,99,35,35.35
Ri Bhoi,Umsning,Mawshunam,2022-2023,459722,27,0,0.0
Ri Bhoi,Umsning,Mawtari,2022-2023,459723,213,0,0.0
Ri Bhoi,Umsning,Mawtnen,2022-2023,459724,24,0,0.0
Ri Bhoi,Umsning,Mawtynrah,2022-2023,459725,86,0,0.0
Ri Bhoi,Umsning,Myrdon Nongbah,2022-2023,459726,217,50,23.04
Ri Bhoi,Umsning,Niangdai,2022-2023,459727,26,8,30.77
Ri Bhoi,Umsning,Nongdewsaw,2022-2023,459728,82,0,0.0
Ri Bhoi,Umsning,Nongjri,2022-2023,459729,223,0,0.0
Ri Bhoi,Umsning,Nongkya,2022-2023,459730,159,100,62.89
Ri Bhoi,Umsning,Nongmahir,2022-2023,459731,110,0,0.0
Ri Bhoi,Umsning,Nongrim Umksih,2022-2023,459732,120,0,0.0
Ri Bhoi,Umsning,Nongsangu,2022-2023,459733,208,40,19.23
Ri Bhoi,Umsning,Nongsder,2022-2023,459734,625,215,34.4
Ri Bhoi,Umsning,Nongthymmai Makdoh,2022-2023,459735,20,0,0.0
Ri Bhoi,Umsning,Nongthymmai Umsning,2022-2023,459736,320,53,16.56
Ri Bhoi,Umsning,Nongtraw,2022-2023,459737,280,50,17.86
Ri Bhoi,Umsning,Nongtraw Soh,2022-2023,459738,46,10,21.74
Ri Bhoi,Umsning,Paitklong,2022-2023,459739,100,0,0.0
Ri Bhoi,Umsning,Palwi,2022-2023,459740,97,16,16.49
Ri Bhoi,Umsning,Pamlaban,2022-2023,459741,121,0,0.0
Ri Bhoi,Umsning,Pamlatar,2022-2023,459742,125,60,48.0
Ri Bhoi,Umsning,Patharan,2022-2023,459743,27,12,44.44
Ri Bhoi,Umsning,Pdengnongrim,2022-2023,459744,108,0,0.0
Ri Bhoi,Umsning,Pdengtleij,2022-2023,459745,138,0,0.0
Ri Bhoi,Umsning,Prangdngeim,2022-2023,459746,106,0,0.0
Ri Bhoi,Umsning,Pyllun,2022-2023,459747,167,39,23.35
Ri Bhoi,Umsning,Raitong,2022-2023,459748,119,0,0.0
Ri Bhoi,Umsning,Rtiang,2022-2023,459749,134,72,53.73
Ri Bhoi,Umsning,Sabuda,2022-2023,459750,87,0,0.0
Ri Bhoi,Umsning,Shiliang Umdoh,2022-2023,459751,126,0,0.0
Ri Bhoi,Umsning,Sngah Tyrkhang,2022-2023,459752,10,0,0.0
Ri Bhoi,Umsning,Sonidan,2022-2023,459753,238,0,0.0
Ri Bhoi,Umsning,Sumer 4. No,2022-2023,459754,180,110,61.11
Ri Bhoi,Umsning,Syadheh,2022-2023,459755,141,30,21.28
Ri Bhoi,Umsning,Syadrit,2022-2023,459756,138,95,68.84
Ri Bhoi,Umsning,Syllei Ular,2022-2023,459757,80,0,0.0
Ri Bhoi,Umsning,Syngku,2022-2023,459758,246,0,0.0
Ri Bhoi,Umsning,Syntor Bulia,2022-2023,459759,68,0,0.0
Ri Bhoi,Umsning,Tdohumshiaw,2022-2023,459760,55,0,0.0
Ri Bhoi,Umsning,Tdohumsiang,2022-2023,459761,123,0,0.0
Ri Bhoi,Umsning,Thadrang,2022-2023,459762,250,164,65.6
Ri Bhoi,Umsning,Tyrsha,2022-2023,459763,44,0,0.0
Ri Bhoi,Umsning,Umbir,2022-2023,459764,362,50,13.81
Ri Bhoi,Umsning,Umdih Dkhar Mawshrieh,2022-2023,459765,62,0,0.0
Ri Bhoi,Umsning,Umdiker,2022-2023,459766,151,101,66.89
Ri Bhoi,Umsning,Umdohthli,2022-2023,459767,70,0,0.0
Ri Bhoi,Umsning,Umiam - A,2022-2023,459768,117,20,17.09
Ri Bhoi,Umsning,Umiam -b,2022-2023,459769,80,19,23.75
Ri Bhoi,Umsning,Umiam -c,2022-2023,459770,175,10,5.71
Ri Bhoi,Umsning,Umiam -d,2022-2023,459771,81,18,22.22
Ri Bhoi,Umsning,Umiarong,2022-2023,459772,147,75,51.02
